YEAR,CO2_emission,CO2_conc
1750,9.351,276.8
1755,9.362,276.7
1760,10.017,276.5
1765,10.988,276.6
1770,12.274,277.3
1775,13.626,278
1780,15.055,278.2
1785,16.869,278.6
1790,19.177,280
1795,21.892,281.4
1800,28.092,282.6
1805,33.419,283.6
1810,37.38,284.2
1815,43.488,284
1820,50.688,283.3
1825,60.756,283.1
1830,89.123,283.8
1835,90.446,283.9
1840,118.93,284.1
1845,155.211,285.8
1850,196.896,286.8
1855,260.166,286.4
1860,330.642,286.1
1865,432.308,286.3
1870,532.537,288
1875,675.799,289.4
1880,853.708,289.8
1885,1009.675,290.9
1890,1298.465,293.1
1895,1485.283,295.4
1900,1953.614,296.2
1905,2431.145,297.4
1910,3032.156,299.3
1915,3130.389,301.1
1920,3513.395,303.3
1925,3709.804,304.7
1930,3919.399,306.6
1935,3794.457,308.4
1940,4847.084,310.4
1945,4240.829,310.9
1950,5998.35,311.2
1955,7437.038,313.4
1956,7917.91,314
1957,8179.34,314.6
1958,8412.113,315.3
1959,8848.509,315.98
1960,9334.894,316.91
1961,9356.003,317.64
1962,9687.509,318.45
1963,10236.031,318.99
1964,10769.609,319.62
1965,11269.289,320.04
1966,11793.838,321.37
1967,12171.497,322.18
1968,12835.996,323.05
1969,13691.842,324.62
1970,14826.863,325.68
1971,15425.831,326.32
1972,16142.605,327.46
1973,17000.713,329.68
1974,16925.872,330.19
1975,16902.973,331.12
1976,17799.76,332.03
1977,18287.936,333.84
1978,18958.832,335.41
1979,19464.238,336.84
1980,19369.452,338.76
1981,18841.367,340.12
1982,18700.965,341.48
1983,18876.275,343.15
1984,19426.234,344.85
1985,20116.824,346.35
1986,20401.695,347.61
1987,21062.704,349.31
1988,21865.971,351.69
1989,22193.362,353.2
1990,22697.612,354.45
1991,23169.529,355.7
1992,22444.951,356.54
1993,22682.603,357.21
1994,22843.788,358.96
1995,23332.159,360.97
1996,24050.844,362.74
1997,24191.148,363.88
1998,24112.119,366.84
1999,24431.051,368.54
2000,25119.042,369.71
2001,25332.203,371.32
2002,25911.186,373.45
2003,27176.184,375.98
2004,28470.451,377.7
2005,29410.889,379.98
2006,30374.554,382.09
2007,31293.862,384.03
2008,31946.034,385.83
2009,31464.2,387.64
2010,33131.911,390.1
2011,34209.583,391.85
2012,34760.008,394.06
2013,34987.264,396.74
2014,35244.868,398.87
2015,35209.447,401.01
2016,35220.412,404.41
2017,35696.349,406.76
2018,36419.712,408.72
2019,36441.388,410
2020,39707.3,411.5
2021,40753.23,412.5
2022,41837.2,414.1052155
2023,42958.49,418.0684593
2024,44116.34,421.3704606
2025,45309.94,424.7495843
2026,46538.45,428.229748
2027,47801,431.8349902
2028,49096.67,435.5663419
2029,50424.52,439.3790403
2030,51783.55,443.3106275
2031,53172.75,447.4180715
2032,54591.04,451.5349474
2033,56037.34,455.7729152
2034,57510.5,460.1686391
2035,59009.36,464.684132
2036,60532.69,469.2921658
2037,62079.27,474.0391519
2038,63647.79,478.9906449
2039,65236.93,484.0786498
2040,66845.35,489.2352685
2041,68471.64,494.5143276
2042,70114.36,499.969231
2043,71772.06,505.5480129
2044,73443.21,511.2994305
2045,75126.28,517.230524
2046,76819.68,523.2791613
2047,78521.79,529.4955351
2048,80230.96,535.8167411
2049,81945.49,542.2561551
2050,83663.66,548.8952848
2051,85383.68,555.774956
2052,87103.77,562.7151429
2053,88822.07,569.8391011
2054,90536.71,577.2096601
2055,92245.77,584.742154
2056,93947.29,592.4573965
2057,95639.29,600.415539
2058,97319.73,608.446937
2059,98986.55,616.7373193
2060,100637.65,625.2816681
2061,102270.89,634.0766214
2062,103884.09,642.9049059
2063,105475.03,652.0715017
2064,107041.48,661.4154359
2065,108581.12,670.9595571
2066,110091.65,680.7813883
2067,111570.69,690.6745922
2068,113015.86,700.755657
2069,114424.7,711.1314771
2070,115794.75,721.7223732
2071,117123.49,732.5284956
2072,118408.38,743.5697803
2073,119646.83,754.8685172
2074,120836.21,766.1525293
2075,121973.87,777.7803959
2076,123057.1,789.647237
2077,124083.18,801.6346287
2078,125049.34,813.6143787
2079,125952.75,825.9502251
2080,126790.58,838.5111575
2081,127559.94,851.2731343
2082,128257.92,864.163021
2083,128881.55,877.3765299
2084,129427.83,890.6412672
2085,129893.75,903.7451683
2086,130276.22,917.0163483
2087,130572.15,930.3820439
2088,130778.38,943.8509582
2089,130891.74,957.2614924
2090,130909,970.7112202
2091,130826.93,984.3573894
2092,130642.21,997.9967365
2093,130351.52,1011.770279
2094,129951.5,1025.522594
2095,129438.74,1039.229028
2096,128809.8,1052.844484
2097,128061.2,1066.590058
2098,127189.42,1080.310121
2099,126190.92,1093.82302
2100,125062.11,1107.600964
